
--------------------------------------------------------------------------------


Problem title: basalt_h2O                                                                                                                                                        

Thermodynamic data base from: Holland & Powell, JMG 2011 (TC-DS62, 20:08 Feb 6, 2012)                         

Fluid equation of state: X(CO2) H2O-CO2 Modified Redlich-Kwong (MRK) DeSantis et al 74  

Independently constrained potentials:

   T(K)     P(bar)  

Components with unconstrained potentials:

   SiO2    TiO2    Al2O3   FeO     MgO     CaO     Na2O    K2O     H2O  

Phases and (projected) compositions:

            SiO2    TiO2    Al2O3   FeO     MgO     CaO     Na2O    K2O     H2O  
   anth      0.500   0.000   0.000   0.000   0.438   0.000   0.000   0.000   0.062
   fanth     0.500   0.000   0.000   0.438   0.000   0.000   0.000   0.000   0.062
   ged       0.429   0.000   0.143   0.000   0.357   0.000   0.000   0.000   0.071
   spr4      0.200   0.000   0.400   0.000   0.400   0.000   0.000   0.000   0.000
   spr5      0.111   0.000   0.556   0.000   0.333   0.000   0.000   0.000   0.000
   fspr      0.200   0.000   0.400   0.400   0.000   0.000   0.000   0.000   0.000
   mcar      0.333   0.000   0.167   0.000   0.167   0.000   0.000   0.000   0.333
   fcar      0.333   0.000   0.167   0.167   0.000   0.000   0.000   0.000   0.333
   mu        0.500   0.000   0.250   0.000   0.000   0.000   0.000   0.083   0.167
   cel       0.571   0.000   0.071   0.000   0.143   0.000   0.000   0.071   0.143
   fcel      0.571   0.000   0.071   0.143   0.000   0.000   0.000   0.071   0.143
   pa        0.500   0.000   0.250   0.000   0.000   0.000   0.083   0.000   0.167
   ma        0.333   0.000   0.333   0.000   0.000   0.167   0.000   0.000   0.167
   phl       0.375   0.000   0.062   0.000   0.375   0.000   0.000   0.062   0.125
   ann       0.375   0.000   0.062   0.375   0.000   0.000   0.000   0.062   0.125
   east      0.286   0.000   0.214   0.000   0.286   0.000   0.000   0.071   0.143
   naph      0.375   0.000   0.062   0.000   0.375   0.000   0.062   0.000   0.125
   clin      0.231   0.000   0.077   0.000   0.385   0.000   0.000   0.000   0.308
   ames      0.167   0.000   0.167   0.000   0.333   0.000   0.000   0.000   0.333
   afchl     0.286   0.000   0.000   0.000   0.429   0.000   0.000   0.000   0.286
   daph      0.231   0.000   0.077   0.385   0.000   0.000   0.000   0.000   0.308
   sud       0.273   0.000   0.182   0.000   0.182   0.000   0.000   0.000   0.364
   fsud      0.273   0.000   0.182   0.182   0.000   0.000   0.000   0.000   0.364
   prl       0.667   0.000   0.167   0.000   0.000   0.000   0.000   0.000   0.167
   ta        0.500   0.000   0.000   0.000   0.375   0.000   0.000   0.000   0.125
   fta       0.500   0.000   0.000   0.375   0.000   0.000   0.000   0.000   0.125
   tats      0.429   0.000   0.143   0.000   0.286   0.000   0.000   0.000   0.143
   minn      0.500   0.000   0.000   0.375   0.000   0.000   0.000   0.000   0.125
   minm      0.500   0.000   0.000   0.000   0.375   0.000   0.000   0.000   0.125
   kao       0.400   0.000   0.200   0.000   0.000   0.000   0.000   0.000   0.400
   pre       0.429   0.000   0.143   0.000   0.000   0.286   0.000   0.000   0.143
   chr       0.286   0.000   0.000   0.000   0.429   0.000   0.000   0.000   0.286
   liz       0.286   0.000   0.000   0.000   0.429   0.000   0.000   0.000   0.286
   glt       0.286   0.000   0.000   0.429   0.000   0.000   0.000   0.000   0.286
   fstp      0.390   0.000   0.049   0.244   0.000   0.000   0.000   0.012   0.305
   mstp      0.390   0.000   0.049   0.000   0.244   0.000   0.000   0.012   0.305
   atg       0.301   0.000   0.000   0.000   0.425   0.000   0.000   0.000   0.274
   ab        0.750   0.000   0.125   0.000   0.000   0.000   0.125   0.000   0.000
   abh       0.750   0.000   0.125   0.000   0.000   0.000   0.125   0.000   0.000
   san       0.750   0.000   0.125   0.000   0.000   0.000   0.000   0.125   0.000
   an        0.500   0.000   0.250   0.000   0.000   0.250   0.000   0.000   0.000
   kcm       0.600   0.000   0.100   0.000   0.000   0.000   0.000   0.100   0.200
   wa        0.800   0.000   0.000   0.000   0.000   0.000   0.000   0.200   0.000
   hol       0.750   0.000   0.125   0.000   0.000   0.000   0.000   0.125   0.000
   q         1.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   trd       1.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   crst      1.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   coe       1.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   stv       1.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   ne        0.500   0.000   0.250   0.000   0.000   0.000   0.250   0.000   0.000
   cg        0.500   0.000   0.250   0.000   0.000   0.000   0.250   0.000   0.000
   cgh       0.500   0.000   0.250   0.000   0.000   0.000   0.250   0.000   0.000
   kls       0.500   0.000   0.250   0.000   0.000   0.000   0.000   0.250   0.000
   lc        0.667   0.000   0.167   0.000   0.000   0.000   0.000   0.167   0.000
   wrk       0.500   0.000   0.125   0.000   0.000   0.125   0.000   0.000   0.250
   lmt       0.400   0.000   0.100   0.000   0.000   0.100   0.000   0.000   0.400
   heu       0.467   0.000   0.067   0.000   0.000   0.067   0.000   0.000   0.400
   stlb      0.438   0.000   0.062   0.000   0.000   0.062   0.000   0.000   0.438
   anl       0.500   0.000   0.125   0.000   0.000   0.000   0.125   0.000   0.250
   lime      0.000   0.000   0.000   0.000   0.000   1.000   0.000   0.000   0.000
   ru        0.000   1.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   per       0.000   0.000   0.000   0.000   1.000   0.000   0.000   0.000   0.000
   fper      0.000   0.000   0.000   1.000   0.000   0.000   0.000   0.000   0.000
   cor       0.000   0.000   1.000   0.000   0.000   0.000   0.000   0.000   0.000
   mcor      0.500   0.000   0.000   0.000   0.500   0.000   0.000   0.000   0.000
   geik      0.000   0.500   0.000   0.000   0.500   0.000   0.000   0.000   0.000
   ilm       0.000   0.500   0.000   0.500   0.000   0.000   0.000   0.000   0.000
   sp        0.000   0.000   0.500   0.000   0.500   0.000   0.000   0.000   0.000
   herc      0.000   0.000   0.500   0.500   0.000   0.000   0.000   0.000   0.000
   usp       0.000   0.333   0.000   0.667   0.000   0.000   0.000   0.000   0.000
   br        0.000   0.000   0.000   0.000   0.500   0.000   0.000   0.000   0.500
   dsp       0.000   0.000   0.500   0.000   0.000   0.000   0.000   0.000   0.500
   H2O       0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000
   perL      0.000   0.000   0.000   0.000   1.000   0.000   0.000   0.000   0.000
   limL      0.000   0.000   0.000   0.000   0.000   1.000   0.000   0.000   0.000
   corL      0.000   0.000   1.000   0.000   0.000   0.000   0.000   0.000   0.000
   qL        1.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   h2oL      0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000
   foL       0.333   0.000   0.000   0.000   0.667   0.000   0.000   0.000   0.000
   faL       0.333   0.000   0.000   0.667   0.000   0.000   0.000   0.000   0.000
   woL       0.500   0.000   0.000   0.000   0.000   0.500   0.000   0.000   0.000
   enL       0.500   0.000   0.000   0.000   0.500   0.000   0.000   0.000   0.000
   diL       0.500   0.000   0.000   0.000   0.250   0.250   0.000   0.000   0.000
   silL      0.500   0.000   0.500   0.000   0.000   0.000   0.000   0.000   0.000
   anL       0.500   0.000   0.250   0.000   0.000   0.250   0.000   0.000   0.000
   kspL      0.750   0.000   0.125   0.000   0.000   0.000   0.000   0.125   0.000
   abL       0.750   0.000   0.125   0.000   0.000   0.000   0.125   0.000   0.000
   neL       0.500   0.000   0.250   0.000   0.000   0.000   0.250   0.000   0.000
   lcL       0.667   0.000   0.167   0.000   0.000   0.000   0.000   0.167   0.000
   ilm_nol   0.000   0.500   0.000   0.500   0.000   0.000   0.000   0.000   0.000
   musp      0.000   0.333   0.000   0.000   0.667   0.000   0.000   0.000   0.000
   fbr       0.000   0.000   0.000   0.500   0.000   0.000   0.000   0.000   0.500
   fchum     0.286   0.000   0.000   0.643   0.000   0.000   0.000   0.000   0.071
   fphA      0.167   0.000   0.000   0.583   0.000   0.000   0.000   0.000   0.250
   fatg      0.301   0.000   0.000   0.425   0.000   0.000   0.000   0.000   0.274
   atgts     0.275   0.000   0.037   0.000   0.404   0.000   0.000   0.000   0.284
   ts_dqf    0.429   0.000   0.143   0.000   0.214   0.143   0.000   0.000   0.071
   parg_dqf  0.400   0.000   0.100   0.000   0.267   0.133   0.033   0.000   0.067
   gl_dqf    0.571   0.000   0.071   0.000   0.214   0.000   0.071   0.000   0.071
   cumm_dqf  0.500   0.000   0.000   0.000   0.438   0.000   0.000   0.000   0.062
   grun_dqf  0.500   0.000   0.000   0.438   0.000   0.000   0.000   0.000   0.062
   ogl_dqf   0.571   0.000   0.071   0.000   0.214   0.000   0.071   0.000   0.071
   fanth_dq  0.500   0.000   0.000   0.438   0.000   0.000   0.000   0.000   0.062
   mpa       0.400   0.000   0.100   0.000   0.400   0.000   0.033   0.000   0.067
   ged_dqf   0.429   0.000   0.143   0.000   0.357   0.000   0.000   0.000   0.071
   tbit      0.429   0.143   0.071   0.000   0.286   0.000   0.000   0.071   0.000
   ma_dqf    0.333   0.000   0.333   0.000   0.000   0.167   0.000   0.000   0.167
   dilm      0.000   0.500   0.000   0.500   0.000   0.000   0.000   0.000   0.000
   sil8L     0.500   0.000   0.500   0.000   0.000   0.000   0.000   0.000   0.000
   fo8L      0.333   0.000   0.000   0.000   0.667   0.000   0.000   0.000   0.000
   fa8L      0.333   0.000   0.000   0.667   0.000   0.000   0.000   0.000   0.000
   q8L       1.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   ma1_dqf   0.333   0.000   0.333   0.000   0.000   0.167   0.000   0.000   0.167
   mstt      0.326   0.065   0.348   0.000   0.174   0.000   0.000   0.000   0.087
   tbi       0.429   0.143   0.071   0.000   0.286   0.000   0.000   0.071   0.000
   cfs       0.500   0.000   0.000   0.500   0.000   0.000   0.000   0.000   0.000
   cenjh     0.500   0.000   0.000   0.000   0.500   0.000   0.000   0.000   0.000
   odi       0.500   0.000   0.000   0.000   0.250   0.250   0.000   0.000   0.000
   qjL       1.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   dijL      0.500   0.000   0.000   0.000   0.250   0.250   0.000   0.000   0.000
   jdjL      0.667   0.000   0.167   0.000   0.000   0.000   0.167   0.000   0.000
   ctjL      0.333   0.000   0.333   0.000   0.000   0.333   0.000   0.000   0.000
   fojL      0.333   0.000   0.000   0.000   0.667   0.000   0.000   0.000   0.000
   fajL      0.333   0.000   0.000   0.667   0.000   0.000   0.000   0.000   0.000
   foTL      0.333   0.000   0.000   0.000   0.667   0.000   0.000   0.000   0.000
   faTL      0.333   0.000   0.000   0.667   0.000   0.000   0.000   0.000   0.000
   kprg      0.400   0.000   0.100   0.000   0.267   0.133   0.000   0.033   0.067
   tts       0.429   0.143   0.071   0.000   0.214   0.143   0.000   0.000   0.000
   cfsg      0.500   0.000   0.000   0.500   0.000   0.000   0.000   0.000   0.000
   mfpv      0.500   0.000   0.000   0.500   0.000   0.000   0.000   0.000   0.000
   mcpv      0.500   0.000   0.000   0.000   0.000   0.500   0.000   0.000   0.000
   cmpv      0.500   0.000   0.000   0.000   0.500   0.000   0.000   0.000   0.000
   cfpv      0.500   0.000   0.000   0.500   0.000   0.000   0.000   0.000   0.000
   capv      0.000   0.000   1.000   0.000   0.000   0.000   0.000   0.000   0.000
   fcor      0.500   0.000   0.000   0.500   0.000   0.000   0.000   0.000   0.000
   hmgts     0.333   0.000   0.333   0.000   0.333   0.000   0.000   0.000   0.000
   mcbuf     0.286   0.143   0.143   0.000   0.143   0.286   0.000   0.000   0.000
   kjdh      0.667   0.000   0.167   0.000   0.000   0.000   0.000   0.167   0.000
   foHL      0.333   0.000   0.000   0.000   0.667   0.000   0.000   0.000   0.000
   faHL      0.333   0.000   0.000   0.667   0.000   0.000   0.000   0.000   0.000
   qHL       1.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   jdL       0.667   0.000   0.167   0.000   0.000   0.000   0.167   0.000   0.000
   kjL       0.667   0.000   0.167   0.000   0.000   0.000   0.000   0.167   0.000

Excluded phases:

 ts        parg      gl        cumm      grun    

Phases:

 Chl(W)      Opx(HP)     O(HP)       Gt(HP)    

--------------------------------------------------------------------------------


 Stable assemblages identified by assemblage index:

   1 - Chl(W) O(HP) tr ta cor 
   2 - Chl(W) O(HP) Opx(HP) tr ta cor 
   3 - Chl(W) O(HP) Opx(HP) tr cor 
   4 - Chl(W) O(HP) Opx(HP) di tr 
   5 - Chl(W) O(HP) Opx(HP) di ta 
   6 - Chl(W) O(HP) Opx(HP) di liz 
   7 - Chl(W) O(HP) Opx(HP) frw di liz 
   8 - Chl(W) O(HP) frw cen di liz 
   9 - Chl(W) O(HP) frw phA cen di 
  10 - Gt(HP) O(HP) frw phA cen di 
  11 - Gt(HP) O(HP) frw phA hen di 
  12 - Gt(HP) O(HP) Opx(HP) phA cen di 
  13 - Chl(W) O(HP) tr ged ta 
  14 - Chl(W) O(HP) Opx(HP) di atg 
  15 - Gt(HP) Chl(W) O(HP) Opx(HP) phA di 
  16 - Chl(W) O(HP) Opx(HP) tr ged cor 
  17 - Chl(W) O(HP) Opx(HP) phA di 
  18 - Gt(HP) O(HP) Opx(HP) phA di 
  19 - Chl(W) O(HP) Opx(HP) tr ged 
  20 - Gt(HP) O(HP) Opx(HP) frw phA di 
  21 - Chl(W) O(HP) Opx(HP) tr ged an 
  22 - Chl(W) O(HP) Opx(HP) tr an 
  23 - Chl(W) O(HP) Opx(HP) tr 
  24 - Chl(W) O(HP) Opx(HP) di H2O 
  25 - Gt(HP) Chl(W) O(HP) Opx(HP) di H2O 
  26 - Gt(HP) O(HP) Opx(HP) phA di H2O 
  27 - Chl(W) O(HP) Opx(HP) di h2oL 
  28 - Gt(HP) Chl(W) O(HP) Opx(HP) di h2oL 
  29 - Gt(HP) O(HP) Opx(HP) di h2oL 
  30 - Gt(HP) O(HP) Opx(HP) phA di faTL 
  31 - O(HP) Opx(HP) tr an H2O 
  32 - Gt(HP) O(HP) Opx(HP) di H2O 
  33 - O(HP) Opx(HP) di an H2O 
  34 - Gt(HP) O(HP) Opx(HP) di H2O faTL 
  35 - Gt(HP) Opx(HP) chdr di H2O faTL 
  36 - O(HP) Opx(HP) di H2O 
  37 - O(HP) Opx(HP) an H2O dijL 
  38 - O(HP) Opx(HP) H2O dijL 
  39 - Chl(W) O(HP) Opx(HP) di tr cor 
  40 - Chl(W) O(HP) Opx(HP) frw phA di 
  41 - Chl(W) O(HP) Opx(HP) di ta atg 
  42 - Chl(W) O(HP) Opx(HP) tr ged ta 
  43 - Chl(W) O(HP) Opx(HP) di 
  44 - Chl(W) O(HP) Opx(HP) tr an H2O 
  45 - Gt(HP) O(HP) Opx(HP) di h2oL faTL 
  46 - Chl(W) O(HP) Opx(HP) phA di H2O 
  47 - Chl(W) O(HP) Opx(HP) tr H2O 
  48 - Gt(HP) Opx(HP) chdr phA di faTL 
  49 - Chl(W) O(HP) Opx(HP) di tr H2O 
  50 - O(HP) Opx(HP) di tr an H2O 
  51 - Chl(W) O(HP) Opx(HP) di ta liz 
  52 - Chl(W) O(HP) Opx(HP) phA di liz 
